Name,sfGFP/OD600,Error,Unnamed: 3
ML177,18224.35958501745,305.57785912914915,
ML256,18198.03598569615,571.3814900320504,
ML1615,18188.4659199948,62.55792967999878,
ML2510,18140.35288671685,200.3768963206494,
ML2556,18138.514174640448,465.57728143655004,
ML3525,18098.26847046715,11.212342173950674,
ML3221,18079.295154185,190.2662447597486,
ML1475,18070.74293627695,16.493388356549985,
ML344,18002.342328046252,337.5897986505497,
ML2792,17992.951612497898,248.63042919100008,
ML1975,17970.83757157385,185.94208944304955,
ML2213,17956.6986322501,190.15451460300028,
ML2348,17955.2927745489,317.01843826569893,
ML3321,17935.83509034,161.48243929189994,
ML2997,17930.0768645827,157.9680210453007,
ML2730,17926.9848222513,280.9416567836997,
ML951,17922.52847596955,127.30234531624956,
ML2135,17785.3683904372,407.2392731775999,
ML2538,17772.533883726697,178.8455208075993,
ML861,17756.9811808773,499.22924289279945,
ML2351,17756.9580058993,57.75481864829999,
ML570,17717.41094185645,81.52830597385037,
ML2859,17712.62670004875,169.16243733144984,
ML1585,17704.50983535025,356.02498686545005,
ML3073,17688.1125721918,276.9719886374005,
ML149,17685.74782420775,62.47912614685083,
ML1644,17669.21238972295,636.2453567559496,
ML1446,17663.439922400852,203.42110772544947,
ML948,17652.42799313705,177.0100973651497,
ML2503,17642.4691791605,180.7015525468014,
ML1488,17605.6136760939,511.8175165665998,
ML2303,17601.43598479015,332.5704175737501,
ML1273,17599.13030379305,175.16436705335036,
ML3363,17590.77191157265,253.7705360568507,
ML2081,17579.90078837805,542.1649393214502,
ML158,17554.902312583,908.4902755460007,
ML2928,17549.80079681275,49.80079681274947,
ML548,17545.0828539917,382.8223640572014,
ML2541,17492.341724083402,145.45355150720025,
ML1669,17434.34496444225,149.22966045905014,
ML1309,17386.696618803748,225.6305701363508,
ML2373,17380.294003806797,264.82161676890064,
ML326,17375.986269970148,841.0679935957505,
ML891,17345.945585711648,1720.2145915596502,
ML2097,17345.31226594415,131.22579453555045,
ML2767,17344.1483833384,282.65186713120056,
ML1883,17329.0761373255,330.3308424698007,
ML3038,17299.89672133615,62.965288885348855,
ML779,17299.306374168802,359.8491716635999,
ML1805,17270.410188720103,234.90519044360008,
ML1501,17231.04994441975,247.53022693885032,
ML448,17230.682027053,749.249317018799,
ML2886,17202.2694831778,10.09456948389925,
ML3263,17188.0457985639,40.50553312204829,
ML2576,17178.64405550225,467.4854863618493,
ML956,17176.07966599535,522.7949944625489,
ML2280,17161.79896089265,91.02301653154973,
ML532,17159.81806247595,260.7733942600498,
ML2931,17152.9196477653,7.155681801599712,
ML1316,17138.1699108224,10.012754601599227,
ML1928,17118.668202368,17.679501802998857,
ML2980,17105.64920702795,199.89441136485038,
ML3033,17086.097866647,163.42697723030142,
ML66,17053.87664137355,349.6011069317501,
ML2259,17001.51131034655,472.1371085585506,
ML2387,16976.70797652795,345.03498121855046,
ML1998,16975.8474455184,298.9927636622997,
ML2422,16954.63125318705,432.59109625194833,
ML2077,16938.273596833198,33.26040422110054,
ML1507,16935.2638032285,316.44402651400014,
ML1624,16923.0612622751,74.26494093349902,
ML1572,16889.3090055937,420.3924869435995,
ML1859,16886.9715425115,355.0394487361991,
ML2967,16879.74101370255,104.83121631144968,
ML657,16874.71800265645,164.46159240005,
ML3077,16859.24125980325,299.9036333083495,
ML1600,16831.64048258965,616.4506091719495,
ML3195,16811.50749356945,17.69581045394989,
ML1034,16798.80023425195,302.2635955352489,
ML2429,16798.418014766,147.9325778727998,
ML1223,16795.823036793,8.343629873699683,
ML2379,16793.9570913554,182.68834388879986,
ML1573,16784.791581277103,40.08975771870064,
ML2552,16782.0928153906,477.3742252826005,
ML2862,16778.90354364175,136.49450976475055,
ML2312,16761.49503649585,376.3297103117511,
ML921,16733.8564684596,843.4062246970998,
ML3098,16733.576402142848,95.69189054005074,
ML270,16729.0173186762,664.9054844993007,
ML2223,16717.9867097701,248.1591235632004,
ML1642,16708.783290388397,2.1311638889001188,
ML2883,16688.6951118182,212.89631396939876,
ML965,16638.7987622134,266.4910699056991,
ML2788,16638.72867361445,185.75721830324983,
